package,name,composable,skippable,restartable,readonly,inline,isLambda,hasDefaults,defaultsGroup,groups,calls,
land.sungbin.duckie.quackquack.playground.QuackColumnTest,QuackColumnTest,1,1,1,0,0,0,0,0,1,1,
land.sungbin.duckie.quackquack.playground.QuackButtonTest,QuackButtonTest,1,1,1,0,0,0,0,0,1,2,
