package,name,composable,skippable,restartable,readonly,inline,isLambda,hasDefaults,defaultsGroup,groups,calls,
team.duckie.quackquack.casa.ui.CasaScreen,CasaScreen,1,1,1,0,0,0,0,0,1,13,
team.duckie.quackquack.casa.ui.CasaContentWithDomainFilter,CasaContentWithDomainFilter,1,1,1,0,0,0,0,0,1,1,
