package,name,composable,skippable,restartable,readonly,inline,isLambda,hasDefaults,defaultsGroup,groups,calls,
team.duckie.quackquack.animation.QuackAnimatedContent,QuackAnimatedContent,1,1,1,0,0,0,1,0,2,1,
team.duckie.quackquack.animation.QuackAnimatedVisibility,QuackAnimatedVisibility,1,1,1,0,0,0,1,0,2,1,
team.duckie.quackquack.animation.animatedQuackBorderAsState,animatedQuackBorderAsState,1,0,0,0,0,0,0,0,1,2,
team.duckie.quackquack.animation.animateQuackColorAsState,animateQuackColorAsState,1,0,0,0,0,0,0,0,1,2,
team.duckie.quackquack.animation.animatedQuackTextStyleAsState,animatedQuackTextStyleAsState,1,0,0,0,0,0,0,0,1,5,
